x,y,z,0
-20.898937,-11.827412,38.301916,0
-30.231066,-24.961472,38.294947,0
-37.191646,-35.640582,38.276743,0
-42.276941,-43.831077,38.258726,0
-49.106613,-55.572915,38.239397,0
-55.382870,-67.170912,38.218935,0
-63.308132,-82.284004,38.202684,0
-70.286463,-96.414066,38.187711,0
-77.353373,-112.521706,38.176107,0
-83.423028,-128.212968,38.148068,0
-89.621163,-147.568519,38.113185,0
-95.247273,-169.312833,38.070154,0
-100.252801,-191.514123,38.030509,0
-104.106452,-210.535243,37.989697,0
-107.719329,-229.285912,37.946514,0
-112.307471,-253.482026,37.908256,0
-117.148031,-278.941660,37.878301,0
-122.186956,-309.805389,37.848406,0
-125.420939,-335.288054,37.820575,0
-127.473254,-358.592901,37.793535,0
-127.520876,-372.113916,37.775745,0
-127.083593,-383.547307,37.763325,0
-125.868222,-395.668754,37.753174,0
-123.917444,-407.583283,37.746445,0
-121.739061,-418.113281,37.736166,0
-119.152127,-427.888017,37.719995,0
-115.633307,-438.335509,37.697065,0
-110.727890,-451.369513,37.670607,0
-106.105350,-462.329755,37.643513,0
-101.118451,-472.389157,37.614534,0
-95.643984,-481.867057,37.589156,0
-88.317457,-493.339430,37.564443,0
-81.897298,-502.645335,37.544237,0
-73.990555,-512.343769,37.521771,0
-66.215305,-520.856885,37.503721,0
-57.499698,-529.709295,37.485815,0
-49.553684,-536.881783,37.463787,0
-40.621144,-544.201474,37.439477,0
-30.612934,-551.679016,37.423732,0
-20.123461,-558.642187,37.421200,0
-8.863089,-565.087490,37.420161,0
2.597959,-570.876234,37.413831,0
14.185035,-576.036589,37.403969,0
25.247850,-580.168654,37.401530,0
37.515089,-583.990696,37.409919,0
50.381332,-587.176387,37.430940,0
63.196997,-589.651567,37.459586,0
75.356517,-591.241357,37.493918,0
87.582028,-592.093362,37.530817,0
100.420999,-592.378341,37.574081,0
113.664749,-592.012701,37.625868,0
126.874619,-590.817895,37.685502,0
139.509543,-588.974586,37.748357,0
151.652805,-586.393478,37.807514,0
162.761606,-583.407131,37.860606,0
173.916489,-579.810122,37.912120,0
184.778733,-575.696246,37.967518,0
196.661816,-570.517736,38.035826,0
208.126610,-564.623637,38.110683,0
220.065352,-557.690391,38.184901,0
231.389793,-550.178138,38.246536,0
243.114620,-541.672807,38.303263,0
254.405263,-532.579971,38.358145,0
267.296806,-521.106666,38.410346,0
282.397282,-506.196237,38.451431,0
300.195587,-487.269433,38.473120,0
319.042127,-465.494370,38.466519,0
338.317688,-442.061309,38.432753,0
356.875868,-418.711946,38.381646,0
376.294352,-394.529085,38.331082,0
394.893639,-371.398427,38.279804,0
413.349648,-348.476257,38.228996,0
429.214378,-328.685646,38.181013,0
445.522419,-308.242824,38.134269,0
461.906444,-287.844775,38.089769,0
477.745135,-268.083137,38.051895,0
494.168098,-247.525752,38.017701,0
508.948765,-229.058482,37.992910,0
525.447914,-208.383229,37.970656,0
539.617003,-190.595290,37.959550,0
553.998578,-171.950955,37.957277,0
567.810143,-152.279063,37.966599,0
580.364342,-132.445774,37.985787,0
590.809858,-113.487727,38.010060,0
598.797814,-94.426084,38.044754,0
604.276488,-78.714266,38.071739,0
608.700578,-63.028429,38.104547,0
610.935773,-50.719710,38.134252,0
612.943697,-35.845548,38.182483,0
613.931686,-20.625358,38.228186,0
613.905544,-5.684186,38.256902,0
612.922314,8.481996,38.245995,0
611.148371,21.872108,38.179972,0
608.733946,34.961082,38.075244,0
604.912360,49.450136,37.987189,0
600.194674,63.904142,37.952870,0
593.240301,80.207129,37.976162,0
585.598919,95.304291,38.026528,0
575.100447,112.103024,38.082442,0
565.188604,125.686308,38.133773,0
553.467275,139.300746,38.176101,0
543.190857,149.655783,38.220239,0
532.469981,159.281790,38.267566,0
520.718164,168.095683,38.317872,0
509.423973,175.679305,38.369544,0
497.565077,182.795229,38.441141,0
487.384293,187.946874,38.557508,0
476.335109,192.972682,38.713954,0
464.966921,197.294489,38.895274,0
450.986094,201.458112,39.071647,0
436.645223,204.968746,39.237980,0
421.613401,207.815128,39.384414,0
407.345850,209.376669,39.502656,0
391.945023,210.034186,39.598180,0
376.348683,209.653372,39.675471,0
360.977580,208.152860,39.747010,0
345.578668,205.678708,39.808900,0
327.574430,201.556069,39.855369,0
310.283293,196.700074,39.875534,0
292.897991,191.055856,39.880833,0
276.974510,185.129317,39.867018,0
260.861913,178.784506,39.858377,0
244.731525,172.110695,39.846493,0
229.238127,165.616708,39.844937,0
212.786573,158.613023,39.842231,0
195.832336,151.445889,39.833133,0
177.500548,143.621280,39.816819,0
158.709738,135.222519,39.786535,0
140.557403,126.510527,39.744055,0
124.091556,117.792260,39.695681,0
108.231436,108.383013,39.637210,0
92.762633,98.445283,39.580783,0
76.119618,86.458643,39.518235,0
59.292326,73.162000,39.458051,0
45.149734,61.258049,39.401102,0
30.518939,47.601257,39.329826,0
18.878010,35.715006,39.253595,0
6.351678,22.472911,39.170403,0
