x,y,bank_angle
-0.163868,0.268654,0.100000
-5.894397,-7.769422,0.109872
-15.748367,-21.289357,0.126602
-25.815822,-36.092155,0.144503
-36.494268,-52.754312,0.164294
-47.153896,-71.763176,0.186087
-55.956098,-87.142332,0.203807
-63.072815,-100.748040,0.219162
-69.529025,-114.034800,0.233934
-74.957913,-124.942098,0.246118
-77.948647,-133.985047,0.255643
-81.732763,-145.535234,0.267797
-84.679530,-157.720757,0.280334
-88.144372,-170.665052,0.293734
-90.936414,-182.143640,0.305547
-93.978414,-198.441778,0.322126
-96.992844,-213.824607,0.337802
-99.373951,-227.058778,0.351249
-101.629345,-237.826994,0.362250
-105.324487,-256.627719,0.381411
-108.451035,-275.109606,0.400155
-111.081119,-288.284370,0.413590
-113.739820,-300.972997,0.426554
-116.498353,-317.481611,0.443292
-117.403811,-327.405016,0.453256
-118.508164,-334.782985,0.460717
-119.720799,-347.187434,0.473180
-119.785607,-359.248423,0.485241
-120.020889,-370.263669,0.496259
-119.955935,-383.455557,0.509451
-119.045088,-391.859996,0.517905
-116.394512,-408.002684,0.534264
-113.465009,-420.907100,0.547496
-109.929384,-432.960276,0.560057
-103.443226,-449.893743,0.578191
-97.011470,-464.899114,0.594516
-90.108816,-477.161123,0.608588
-82.080837,-490.028194,0.623754
-72.692906,-502.758336,0.639571
-64.900126,-511.331562,0.651157
-57.636978,-519.381481,0.661999
-50.217494,-526.574232,0.672333
-44.946073,-531.195882,0.679343
-35.775476,-538.847544,0.691287
-24.091350,-547.540991,0.705850
-15.134174,-553.190869,0.716440
-5.362282,-558.734582,0.727675
9.101169,-566.129982,0.743920
19.140569,-569.975356,0.754670
29.472424,-574.045316,0.765775
40.087162,-577.208406,0.776851
54.896171,-580.906652,0.792115
67.871093,-582.985630,0.805255
77.681487,-584.200596,0.815141
89.077708,-584.905535,0.826559
101.903965,-585.118094,0.839387
115.255172,-584.798534,0.852742
128.504764,-583.544438,0.866050
141.888282,-580.981446,0.879677
152.477745,-578.695475,0.890511
163.818038,-575.548330,0.902279
172.146288,-572.571863,0.911124
183.491087,-568.819265,0.923073
193.197489,-564.364842,0.933753
206.747948,-557.290390,0.949039
216.662081,-551.488411,0.960526
226.632713,-544.768555,0.972549
236.869565,-537.134933,0.985319
247.390224,-528.860106,0.998704
258.062615,-519.861424,1.012664
268.444493,-510.101030,1.026913
277.696102,-500.281224,1.040405
285.901143,-492.230537,1.051900
295.768040,-481.034838,1.066823
304.361556,-471.698807,1.079512
314.844736,-459.277378,1.095766
324.115426,-447.402493,1.110831
333.681736,-434.910702,1.126565
343.400322,-422.486937,1.142339
353.522795,-409.325789,1.158942
363.077616,-396.931204,1.174592
369.479311,-389.087555,1.184717
381.387312,-374.507203,1.203542
390.065524,-363.831351,1.217300
400.074779,-350.923594,1.233634
407.914469,-341.063828,1.246230
417.898982,-328.364539,1.262385
424.724572,-319.869504,1.273282
429.905583,-313.196512,1.281730
435.367272,-306.550806,1.290332
446.250895,-291.985172,1.308515
456.553128,-279.372300,1.324801
465.781677,-267.768923,1.339626
472.615489,-258.975658,1.350763
480.874999,-248.536302,1.364075
494.057590,-231.763728,1.385408
505.512199,-216.810990,1.404244
514.126256,-206.422313,1.417739
522.426554,-196.242904,1.430874
533.820872,-181.338418,1.449635
545.616644,-166.318545,1.468733
556.325973,-152.404761,1.486291
566.397264,-137.141745,1.504577
575.365709,-122.225046,1.521982
583.885505,-105.432231,1.540813
588.006131,-96.028383,1.551080
592.966356,-82.078222,1.565885
597.435605,-66.242634,1.582340
600.882374,-51.446542,1.597532
603.013824,-35.436387,1.613683
604.044345,-20.380591,1.628774
603.848715,-3.883481,1.645273
602.469608,10.640932,1.659862
601.093350,22.059508,1.671364
599.009019,33.136217,1.682635
596.195065,44.922585,1.694752
593.282131,53.419824,1.703735
589.718952,63.113303,1.714063
586.348604,71.738955,1.723323
582.058205,80.666168,1.733228
576.108438,92.285578,1.746282
571.746875,99.063336,1.754342
567.983471,105.657632,1.761935
562.151697,113.986819,1.772102
554.528062,123.365418,1.784189
548.158627,130.716328,1.793915
541.729387,137.459323,1.803232
534.194038,144.637423,1.813639
527.897020,150.430051,1.822195
519.504853,156.958127,1.832827
508.234197,164.615592,1.846453
499.798194,169.879561,1.856397
493.076181,173.971789,1.864267
483.902716,178.508156,1.874500
477.201667,181.485488,1.881833
471.071386,183.992600,1.888456
463.881874,186.986785,1.896244
452.324154,190.775249,1.908407
443.195606,193.147989,1.917839
430.728514,195.979486,1.930624
421.378661,197.788401,1.940147
408.560438,199.473920,1.953075
399.633890,199.960704,1.962015
391.160248,200.233823,1.970493
377.454537,199.986707,1.984201
365.694711,198.840935,1.996017
349.714051,196.544675,2.012161
335.635761,193.589656,2.026547
323.517942,189.968988,2.039194
307.469483,185.597510,2.055827
296.076159,181.788406,2.067840
281.558923,176.363396,2.083338
270.122549,171.250457,2.095865
262.511444,168.314987,2.104023
250.242961,163.585183,2.117171
236.254611,157.485098,2.132432
220.168348,150.883299,2.149820
201.391000,142.986923,2.170190
185.232910,136.340333,2.187662
165.115904,127.725102,2.209546
153.491806,122.353905,2.222351
141.944841,116.327289,2.235376
126.635230,107.956674,2.252825
111.620038,98.919359,2.270350
96.111047,88.709977,2.288918
82.653033,79.434049,2.305263
64.229973,64.486732,2.328987
46.281487,48.891692,2.352764
30.079726,32.896831,2.375531
20.624828,23.430194,2.388910
13.595395,15.359684,2.399613
5.027642,5.990538,2.412309
